employee_name,user_id,email,role,projects,business_unit,functional_unit,department,team,supervisor
Anne Stacey Burton,ASB0658,Anne.Stacey.Burton@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Chastity Emerald Sweet
Daquan Alden Conley,DAC1641,Daquan.Alden.Conley@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Dacey Zenaida Miles
Silas Nasim Clark,SNC1721,Silas.Nasim.Clark@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Ethan Branden Garrett
Urielle Amy Middleton,UAM1108,Urielle.Amy.Middleton@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Moana Gemma Talley
Darrel Naida Walton,DNW0899,Darrel.Naida.Walton@dtaa.com,Manager,Project 44,2 - Executive,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Marcia Calista Sawyer
Nayda Regina Oneil,NRO1752,Nayda.Regina.Oneil@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Lydia Risa Vega
Thaddeus Mohammad Thomas,TMT1509,Thaddeus.Mohammad.Thomas@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Raymond Edward Larson
Shelby Noelle Cunningham,SNC0218,Shelby.Noelle.Cunningham@dtaa.com,PurchasingClerk,Project 28,1 - Executive,6 - PurchasingAndContracts,1 - Purchasing,,Cameron Keaton Pacheco
Maia Alika Stevens,MAS0783,Maia.Alika.Stevens@dtaa.com,MaterialsEngineer,,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,4 - MaterialsEngineering,Uriel Michael Burns
Adele Calista Blevins,ACB1485,Adele.Calista.Blevins@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Lara Yvonne Lopez
Scarlett Jenette Callahan,SJC0232,Scarlett.Jenette.Callahan@dtaa.com,VicePresident,,2 - Executive,3 - Manufacturing,,,Jamalia Daria Riggs
Samuel Kaden Barlow,SKB1024,Samuel.Kaden.Barlow@dtaa.com,Technician,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,8 - TestAndEvalualtion,Drake Joshua Harrell
Jeanette Serina Battle,JSB0803,Jeanette.Serina.Battle@dtaa.com,MechanicalEngineer,,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,6 - TestAndEvalualtion,Sarah Regina Reyes
Nora Brooke Porter,NBP0252,Nora.Brooke.Porter@dtaa.com,TechnicalTrainer,Project 25,2 - Executive,1 - Adminstration,3 - Training,,Hedley Timothy Rowland
Clayton Alden Hodges,CAH0595,Clayton.Alden.Hodges@dtaa.com,TestEngineer,Project 2,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,6 - TestAndEvalualtion,Kuame Nathaniel Maxwell
Alden Chaim Jones,ACJ1797,Alden.Chaim.Jones@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,7 - AssemblyDept,Preston Declan Barry
Christopher Kaseem Rose,CKR1446,Christopher.Kaseem.Rose@dtaa.com,Physicist,,2 - Executive,2 - ResearchAndEngineering,2 - Research,3 - Lab,Jacob Berk Benson
Reese Jonathan Walls,RJW1406,Reese.Jonathan.Walls@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Cody Lyle Salinas
Ezekiel Blake Quinn,EBQ1246,Ezekiel.Blake.Quinn@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Rebecca Maya Haynes
Belle Clio Cole,BCC1597,Belle.Clio.Cole@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Daniel Aquila Chandler
Janna Maggie Kirby,JMK1531,Janna.Maggie.Kirby@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Yvette Naomi Cortez
Allegra Genevieve Buckner,AGB0901,Allegra.Genevieve.Buckner@dtaa.com,Manager,Project 31,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,5 - DesktopSoftware,Pascale Kitra Simmons
Hollee Shafira Griffith,HSG1585,Hollee.Shafira.Griffith@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Daniel Aquila Chandler
Shelley Fallon Small,SFS1109,Shelley.Fallon.Small@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Moana Gemma Talley
Tatyana Lavinia Wilder,TLW1050,Tatyana.Lavinia.Wilder@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Evangeline Yoko Malone
Lee Tasha Santiago,LTS1378,Lee.Tasha.Santiago@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Kuame Dale Graves
Hakeem Dillon Whitney,HDW0743,Hakeem.Dillon.Whitney@dtaa.com,SoftwareDeveloper,Project 24,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,4 - WebSoftware,Thomas August Hammond
Zachary Wesley Stuart,ZWS0755,Zachary.Wesley.Stuart@dtaa.com,TechnicalWriter,Project 14,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,1 - Publications,Noah Kenyon Griffin
Dora Willa Rodriquez,DWR1387,Dora.Willa.Rodriquez@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Cody Lyle Salinas
Gwendolyn Darrel Camacho,GDC0055,Gwendolyn.Darrel.Camacho@dtaa.com,Director,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,,Vladimir Buckminster King
Imani Lara Glover,ILG0879,Imani.Lara.Glover@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Hedda Imani Kline
Michelle Aiko Clemons,MAC1175,Michelle.Aiko.Clemons@dtaa.com,ElectricalEngineer,,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,6 - EmbeddedSoftware,Eden Melodie Ballard
Magee Cody Wong,MCW0505,Magee.Cody.Wong@dtaa.com,ElectricalEngineer,,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,3 - EmbeddedSoftware,Jakeem Ferris Cash
Oren Aristotle Jarvis,OAJ0244,Oren.Aristotle.Jarvis@dtaa.com,HumanResourceSpecialist,Project 32,2 - Executive,1 - Adminstration,1 - Personnel,,Selma Tatyana Warner
Brenden Cody Bryan,BCB1715,Brenden.Cody.Bryan@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Ethan Branden Garrett
Grady Tarik Conrad,GTC0614,Grady.Tarik.Conrad@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Bradley Tyrone Nieves
Brock Talon Garner,BTG1551,Brock.Talon.Garner@dtaa.com,LabManager,,2 - Executive,2 - ResearchAndEngineering,2 - Research,4 - Lab,Phoebe Erin Mcdowell
Jolie Harriet Perkins,JHP1654,Jolie.Harriet.Perkins@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Dacey Zenaida Miles
Unity Tatyana Mullen,UTM0493,Unity.Tatyana.Mullen@dtaa.com,SoftwareDeveloper,Project 19,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,2 - DesktopSoftware,Shay Kitra Cash
Hedley Timothy Rowland,HTR0239,Hedley.Timothy.Rowland@dtaa.com,Director,,2 - Executive,1 - Adminstration,3 - Training,,Lareina Kylie Madden
Orson Curran Watts,OCW1127,Orson.Curran.Watts@dtaa.com,ITAdmin,Project 24,2 - Executive,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Darrel Naida Walton
William Baxter King,WBK1077,William.Baxter.King@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Carl John Graham
Kirk Gage Lynch,KGL0178,Kirk.Gage.Lynch@dtaa.com,AdministrativeAssistant,Project 17,1 - Executive,4 - Finance,3 - FinancialPlanning,,Yolanda Jane Branch
Ethan Branden Garrett,EBG1553,Ethan.Branden.Garrett@dtaa.com,Manager,Project 26,2 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Macaulay Reese Huffman
Tashya Camilla Craft,TCC0771,Tashya.Camilla.Craft@dtaa.com,ElectricalEngineer,,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,3 - ElectricalEngineering,Graham Paul Silva
Kenneth Patrick Mcconnell,KPM1002,Kenneth.Patrick.Mcconnell@dtaa.com,HardwareEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,7 - SystemsEngineering,Tanner Luke Banks
Paul Acton Goodwin,PAG0429,Paul.Acton.Goodwin@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Hedda Imani Kline
Ria Kyla Cline,RKC0355,Ria.Kyla.Cline@dtaa.com,AdministrativeAssistant,,2 - Executive,3 - Manufacturing,,,Scarlett Jenette Callahan
Todd Baker Melendez,TBM1476,Todd.Baker.Melendez@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Lara Yvonne Lopez
Karina Melanie Collins,KMC1934,Karina.Melanie.Collins@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Rhona Maite Kennedy
Jonathan Demetrius Sanders,JDS0177,Jonathan.Demetrius.Sanders@dtaa.com,AdministrativeStaff,,1 - Executive,4 - Finance,2 - Payroll,,Thaddeus Jelani Garner
Lionel Isaac Jacobson,LIJ1581,Lionel.Isaac.Jacobson@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Daniel Aquila Chandler
Thomas Channing Acosta,TCA1183,Thomas.Channing.Acosta@dtaa.com,ElectricalEngineer,Project 22,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,6 - EmbeddedSoftware,Eden Melodie Ballard
Sylvia Joan Prince,SJP1023,Sylvia.Joan.Prince@dtaa.com,ElectricalEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,8 - TestAndEvalualtion,Drake Joshua Harrell
Kelly Eaton Oneil,KEO0202,Kelly.Eaton.Oneil@dtaa.com,AdministrativeAssistant,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Chastity Emerald Sweet
Olga Hanae Stuart,OHS0036,Olga.Hanae.Stuart@dtaa.com,SecurityGuard,,1 - Executive,1 - Adminstration,6 - Security,1 - BuildingSecurity,Owen Denton Barber
Raphael Kennan Finch,RKF0080,Raphael.Kennan.Finch@dtaa.com,SoftwareQualityEngineer,Project 32,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,1 - SQA,Lars Tarik Patterson
Ulla Megan Henry,UMH1547,Ulla.Megan.Henry@dtaa.com,LabManager,,1 - Executive,2 - ResearchAndEngineering,2 - Research,4 - Lab,Dominique Karly Charles
Bert Clayton Langley,BCL1423,Bert.Clayton.Langley@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Michelle Yoshi Booker
Derek Casey Decker,DCD0715,Derek.Casey.Decker@dtaa.com,ComputerScientist,,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,2 - DesktopSoftware,Arsenio Solomon Herrera
Kaye Blossom Gaines,KBG1201,Kaye.Blossom.Gaines@dtaa.com,SystemsEngineer,,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,7 - SystemsEngineering,Amos Albert Carney
Gay Adele Foreman,GAF1862,Gay.Adele.Foreman@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Allegra Leila Mcclain
Callum Reese Raymond,CRR1966,Callum.Reese.Raymond@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Hamish Walker Solis
Cameron Tallulah Marks,CTM1817,Cameron.Tallulah.Marks@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,7 - AssemblyDept,Preston Declan Barry
Dolan Nolan Thornton,DNT1801,Dolan.Nolan.Thornton@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,7 - AssemblyDept,Preston Declan Barry
Derek Thor Conrad,DTC0840,Derek.Thor.Conrad@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Prescott Jasper Collins
Venus Casey Massey,VCM0992,Venus.Casey.Massey@dtaa.com,ElectricalEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,7 - SystemsEngineering,Tanner Luke Banks
Karyn Janna Wynn,KJW1664,Karyn.Janna.Wynn@dtaa.com,Scientist,,2 - Executive,2 - ResearchAndEngineering,2 - Research,4 - Lab,Brock Talon Garner
Benedict Otto Snow,BOS1170,Benedict.Otto.Snow@dtaa.com,HardwareEngineer,,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,6 - EmbeddedSoftware,Eden Melodie Ballard
Celeste Amethyst Bright,CAB1886,Celeste.Amethyst.Bright@dtaa.com,Scientist,,2 - Executive,2 - ResearchAndEngineering,2 - Research,5 - Lab,Keiko Quon Mccarthy
Dexter Harrison Pacheco,DHP0732,Dexter.Harrison.Pacheco@dtaa.com,SoftwareDeveloper,Project 19,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,3 - EmbeddedSoftware,Raja Casey Decker
Jasper Dorian Glover,JDG0255,Jasper.Dorian.Glover@dtaa.com,Nurse,,2 - Executive,1 - Adminstration,5 - Medical,,Emma Jocelyn Barnes
Rowan Faith Carrillo,RFC1991,Rowan.Faith.Carrillo@dtaa.com,Scientist,,1 - Executive,2 - ResearchAndEngineering,2 - Research,6 - Lab,Coby Baxter Nguyen
David Zachary Hale,DZH1867,David.Zachary.Hale@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Allegra Leila Mcclain
Maia Tasha Porter,MTP1582,Maia.Tasha.Porter@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Daniel Aquila Chandler
Portia Kerry Spears,PKS1187,Portia.Kerry.Spears@dtaa.com,WebDeveloper,Project 14,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,7 - WebSoftware,Jackson Timothy Sullivan
Lani Roary Wiggins,LRW1357,Lani.Roary.Wiggins@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Kuame Dale Graves
Cathleen Leah Gates,CLG0516,Cathleen.Leah.Gates@dtaa.com,WebDeveloper,Project 34,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,4 - WebSoftware,Christian Chaney Blevins
Hoyt Mason Weeks,HMW0602,Hoyt.Mason.Weeks@dtaa.com,StockroomClerk,Project 15,1 - Executive,3 - Manufacturing,3 - Assembly,1 - Stockroom,Sydney Genevieve Nichols
Quinlan Graham Case,QGC0435,Quinlan.Graham.Case@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Hedda Imani Kline
Jamalia Daria Riggs,JDR0004,Jamalia.Daria.Riggs@dtaa.com,President,,2 - Executive,,,,Anjolie Evangeline Houston
Rose Maisie Blackwell,RMB1821,Rose.Maisie.Blackwell@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Donna Erin Black
Xander Brady Kramer,XBK0246,Xander.Brady.Kramer@dtaa.com,HumanResourceSpecialist,,2 - Executive,1 - Adminstration,1 - Personnel,,Selma Tatyana Warner
Hannah Michelle Mills,HMM1058,Hannah.Michelle.Mills@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Evangeline Yoko Malone
Luke Nicolas Sims,LNS0317,Luke.Nicolas.Sims@dtaa.com,WebDeveloper,Project 5,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,4 - WebSoftware,Thomas August Hammond
Kirk Dustin Lancaster,KDL1901,Kirk.Dustin.Lancaster@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Ann Christine Moreno
Louis Kirk Logan,LKL1895,Louis.Kirk.Logan@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Ann Christine Moreno
Baker Grant Rodriguez,BGR0917,Baker.Grant.Rodriguez@dtaa.com,ITAdmin,Project 19,1 - Executive,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Keith Jelani Morse
Madonna Shellie Shannon,MSS0799,Madonna.Shellie.Shannon@dtaa.com,TestEngineer,Project 47,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,6 - TestAndEvalualtion,Sarah Regina Reyes
Patience Heather Yates,PHY0730,Patience.Heather.Yates@dtaa.com,HardwareEngineer,,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,3 - EmbeddedSoftware,Raja Casey Decker
Martina Macey England,MME1034,Martina.Macey.England@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Evangeline Yoko Malone
Nelle Regan Roman,NRR1835,Nelle.Regan.Roman@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Donna Erin Black
Preston Charles Bartlett,PCB0567,Preston.Charles.Bartlett@dtaa.com,HardwareEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,5 - SystemsEngineering,Kirsten Carol Lambert
Amity Kylynn Puckett,AKP0503,Amity.Kylynn.Puckett@dtaa.com,ComputerScientist,,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,2 - DesktopSoftware,Shay Kitra Cash
Miranda Hilda Paul,MHP1377,Miranda.Hilda.Paul@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Kuame Dale Graves
Odysseus Colt Day,OCD1985,Odysseus.Colt.Day@dtaa.com,LabManager,,2 - Executive,2 - ResearchAndEngineering,2 - Research,6 - Lab,Phoebe Erin Mcdowell
Ignatius Yuli Henry,IYH1611,Ignatius.Yuli.Henry@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Freya Mara Gould
Demetrius Stone Hansen,DSH1074,Demetrius.Stone.Hansen@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Carl John Graham
Leo Henry Dotson,LHD1233,Leo.Henry.Dotson@dtaa.com,TestEngineer,Project 38,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,8 - TestAndEvalualtion,Hollee Quynn Garrison
Christopher Abbot Gilbert,CAG1416,Christopher.Abbot.Gilbert@dtaa.com,Technician,Project 38,1 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Michelle Yoshi Booker
Harding Robert Riddle,HRR0079,Harding.Robert.Riddle@dtaa.com,SoftwareQualityEngineer,Project 21,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,1 - SQA,Lars Tarik Patterson
Vanna Charde Fowler,VCF1602,Vanna.Charde.Fowler@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Freya Mara Gould
Zachery Oleg Coffey,ZOC0154,Zachery.Oleg.Coffey@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Bradley Tyrone Nieves
Ann Christine Moreno,ACM1770,Ann.Christine.Moreno@dtaa.com,Supervisor,,2 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Reagan Zephr Ballard
Priscilla Roary Larson,PRL0965,Priscilla.Roary.Larson@dtaa.com,ElectricalEngineer,,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,6 - EmbeddedSoftware,Todd Rajah Peterson
Ruth Allegra Skinner,RAS0197,Ruth.Allegra.Skinner@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Chaney Daquan Lee
Nathaniel Kane Nixon,NKN1405,Nathaniel.Kane.Nixon@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Cody Lyle Salinas
Kirsten Carol Lambert,KCL0099,Kirsten.Carol.Lambert@dtaa.com,ChiefEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,5 - SystemsEngineering,Gwendolyn Darrel Camacho
Darius Micah Pennington,DMP0344,Darius.Micah.Pennington@dtaa.com,MaterialsEngineer,,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,4 - MaterialsEngineering,Uriel Michael Burns
Jonah Garrett Buck,JGB1393,Jonah.Garrett.Buck@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Cody Lyle Salinas
Medge Kellie Robles,MKR1094,Medge.Kellie.Robles@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Moana Gemma Talley
Adrian Colin Burns,ACB1087,Adrian.Colin.Burns@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Carl John Graham
Cedric Burton Henson,CBH1635,Cedric.Burton.Henson@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Dacey Zenaida Miles
Ashton Robert Gardner,ARG1264,Ashton.Robert.Gardner@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Rebecca Maya Haynes
Fulton Adrian Dudley,FAD1863,Fulton.Adrian.Dudley@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Allegra Leila Mcclain
Lawrence Hyatt Ayala,LHA0303,Lawrence.Hyatt.Ayala@dtaa.com,SoftwareQualityEngineer,Project 46,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,1 - SQA,Brennan Thaddeus Dominguez
Jeanette Josephine Henson,JJH0862,Jeanette.Josephine.Henson@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Rae Yetta Greer
Carson Christopher Pena,CCP1460,Carson.Christopher.Pena@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Lara Yvonne Lopez
Nicholas Chester Underwood,NCU1166,Nicholas.Chester.Underwood@dtaa.com,ComputerProgrammer,Project 21,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,5 - DesktopSoftware,Allegra Genevieve Buckner
Abra Willow Warren,AWW1749,Abra.Willow.Warren@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Lydia Risa Vega
Cassady Rachel Daniels,CRD0272,Cassady.Rachel.Daniels@dtaa.com,ITAdmin,,2 - Executive,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Jessica Jeanette Cline
Harrison Malcolm Irwin,HMI1448,Harrison.Malcolm.Irwin@dtaa.com,Physicist,,2 - Executive,2 - ResearchAndEngineering,2 - Research,3 - Lab,Jacob Berk Benson
Stephanie Charde Conley,SCC0379,Stephanie.Charde.Conley@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Prescott Jasper Collins
Nichole Ignacia Mccarty,NIM1282,Nichole.Ignacia.Mccarty@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Chancellor Rudyard Marks
Keefe Benjamin Rodriquez,KBR0575,Keefe.Benjamin.Rodriquez@dtaa.com,ElectricalEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,5 - SystemsEngineering,Kirsten Carol Lambert
Marshall Elliott Blackburn,MEB1743,Marshall.Elliott.Blackburn@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Lydia Risa Vega
